mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
bivar_poisson_expected_awmae,4,0.5,0.0,0.5,0.25,2.95004294738865,1.0143754760091395,0.1169078446306169,0.5954556994160954,0.22385123127697384
bivar_poisson_expected_awmae,5,1.0,0.06,0.0,0.5,2.950269674069325,1.0144389438943895,0.12344503681137345,0.5806042142675806,0.24479563340949478
bivar_poisson_expected_awmae,5,0.75,0.15,0.5,0.5,2.950340599863093,1.0122810357958874,0.1202081746636202,0.5904417364813405,0.2265168824574765
bivar_poisson_expected_awmae,4,0.25,0.03,0.0,0.0,2.950348580291015,1.012185833968012,0.11386138613861387,0.5810484894643311,0.23902005585173902
bivar_poisson_expected_awmae,4,1.0,0.0,0.5,0.5,2.9506326004862333,1.0163112465092663,0.11836760599136836,0.5938690022848438,0.2253109926377253
bivar_poisson_expected_awmae,5,0.5,0.15,0.5,0.25,2.950636616959784,1.0102183295252603,0.11735211982736735,0.5928535161208428,0.2248032495557248
bivar_poisson_expected_awmae,4,0.5,0.06,0.5,0.25,2.950658926380539,1.0135186595582635,0.11766945925361767,0.5944402132520944,0.22493018532622494
bivar_poisson_expected_awmae,5,0.25,0.06,0.0,0.25,2.9510144101299494,1.0096788525006346,0.1191926884996192,0.5750825082508251,0.2414953033764915
bivar_poisson_expected_awmae,5,1.0,0.06,0.5,0.5,2.9510744796598067,1.0136455953287637,0.11957349581111958,0.5929169840060929,0.22658035034272658
bivar_poisson_expected_awmae,5,0.25,0.03,0.0,0.25,2.95130641809555,1.0103452652957603,0.11862147753236862,0.5759075907590759,0.24143183549124142
bivar_poisson_expected_awmae,5,0.0,0.0,0.0,0.0,2.9513203678861686,1.00990099009901,0.11290936785986291,0.5811119573495811,0.23692561563848694
bivar_poisson_expected_awmae,5,0.0,0.06,0.0,0.0,2.95142878018022,1.0074892104595075,0.11373445036811373,0.5783193703985783,0.23692561563848694
bivar_poisson_expected_awmae,5,0.25,0.1,0.0,0.25,2.9514856632136617,1.0082825590251332,0.11957349581111958,0.5738131505458238,0.24092409240924093
bivar_poisson_expected_awmae,4,0.5,0.03,0.5,0.25,2.951750540439199,1.0140898705255141,0.11741558771261741,0.5946940847930947,0.22416857070322416
bivar_poisson_expected_awmae,5,0.75,0.15,0.0,0.5,2.951861229672271,1.010853008377761,0.1257933485656258,0.5744478293983244,0.24447829398324447
bivar_poisson_expected_awmae,4,0.75,0.03,0.5,0.5,2.9520960666121536,1.0164699162223916,0.11963696369636964,0.5930439197765931,0.22658035034272658
bivar_poisson_expected_awmae,5,0.5,0.0,0.5,0.5,2.9521489811092994,1.0147245493780148,0.11957349581111958,0.5917110941863417,0.22645341457222645
