mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,dixon_rho,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
dixon_bivar_expected_awmae,5,0.5,0.03,0.0,0.0,-0.1,2.9258143387928612,1.0053313023610053,0.11271896420411272,0.5869510027925869,0.2374968266057375
dixon_bivar_expected_awmae,5,0.5,0.0,0.0,0.0,-0.15,2.925839608307342,1.0045379537953796,0.11329017517136329,0.5854277735465854,0.23756029449098756
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.25,0.0,2.9258504231117874,1.0095519167301346,0.1169078446306169,0.5888550393500889,0.24067022086824066
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.25,0.05,2.9259461393421464,1.0085681645087585,0.11671744097486672,0.589045443005839,0.23876618431073876
dixon_bivar_expected_awmae,4,0.75,0.06,0.0,0.0,0.0,2.9259525498222203,1.00990099009901,0.11386138613861387,0.5898705255140899,0.23882965219598884
dixon_bivar_expected_awmae,4,0.75,0.1,0.0,0.0,-0.05,2.9259575605561894,1.0074574765168824,0.11462300076161462,0.5865067275958366,0.23997207413048996
dixon_bivar_expected_awmae,5,0.5,0.06,0.0,0.0,0.05,2.925958508540386,1.0090441736481341,0.1104975882203605,0.5924727088093424,0.23565625793348566
dixon_bivar_expected_awmae,4,0.75,0.06,0.0,0.0,-0.15,2.925995423124738,1.0057121096725057,0.11525767961411526,0.5823178471693323,0.24022594567149022
dixon_bivar_expected_awmae,5,0.5,0.15,0.0,0.0,-0.05,2.9260118918579967,1.0030781924346281,0.11284589997461285,0.584920030464585,0.23711601929423712
dixon_bivar_expected_awmae,4,0.75,0.06,0.0,0.0,0.1,2.9260158962812297,1.0122493018532623,0.11164001015486164,0.5927265803503428,0.23584666158923584
dixon_bivar_expected_awmae,5,0.75,0.15,0.0,0.25,0.15,2.9260334926255176,1.0083142929677582,0.11589235846661589,0.5892993145468393,0.23686214775323686
dixon_bivar_expected_awmae,4,0.75,0.15,0.0,0.0,0.05,2.9261539832774672,1.0094884488448845,0.11290936785986291,0.5901878649403401,0.23832190911398832
dixon_bivar_expected_awmae,5,0.75,0.15,0.0,0.0,0.15,2.9262288333843016,1.00990099009901,0.1078954049251079,0.5947575526783447,0.23089616653973088
