max_score,draw_margin,outcome_weight,gd_weight,prior_weight,mode,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
6,0.1,0.35,0.0,0.03,outcome_aware,3.021205826510931,1.0303395747381783,0.09577911774039988,0.5771501110758489,0.22545223738495715
6,0.1,0.35,0.03,0.0,outcome_aware,3.0212699820220212,1.0301174230403047,0.09533481434465249,0.5770231672484926,0.22557918121231355
7,0.0,0.2,0.06,0.06,outcome_aware,3.021327423509258,1.0154871469374802,0.10053951126626468,0.5564582672167566,0.23592510314185972
7,0.0,0.2,0.06,0.03,outcome_aware,3.0214703874070996,1.016407489685814,0.09965090447476992,0.5572834020945732,0.23459219295461758
7,0.1,0.35,0.03,0.0,outcome_aware,3.0215180371930557,1.0303395747381783,0.0952078705172961,0.5770231672484926,0.22545223738495715
7,0.3,0.35,0.0,0.03,outcome_aware,3.0215614538321365,1.0182799111393208,0.1000952078705173,0.5645826721675659,0.23516344017772137
6,0.3,0.35,0.06,0.01,outcome_aware,3.0215756508313074,1.017645192002539,0.10041256743890828,0.5641383687718184,0.23465566486829578
7,0.1,0.35,0.0,0.03,outcome_aware,3.0215855376150302,1.0305934623928912,0.09558870199936528,0.5771501110758489,0.22526182164392256
5,0.2,0.35,0.03,0.0,outcome_aware,3.0216309962831445,1.0262456363059347,0.09647730879086004,0.5722627737226277,0.2293874960330054
5,0.2,0.35,0.0,0.01,outcome_aware,3.0217113151065003,1.0265312599174865,0.09596953348143447,0.5727070771183751,0.22837194541415423
5,0.3,0.35,0.0,0.06,outcome_aware,3.0218715675131356,1.018629006664551,0.0999682640431609,0.5645826721675659,0.23579815931450332
7,0.3,0.35,0.06,0.01,outcome_aware,3.0219549350008847,1.0178990796572516,0.10028562361155188,0.5641383687718184,0.2345287210409394
6,0.3,0.35,0.1,0.01,outcome_aware,3.0220220656293315,1.017645192002539,0.1000952078705173,0.5638844811171057,0.23516344017772137
5,0.3,0.35,0.06,0.06,outcome_aware,3.022028536336944,1.0175182481751825,0.10034909552523008,0.5638844811171057,0.23548079974611236
6,0.0,0.2,0.0,0.06,outcome_aware,3.0220875605561877,1.0169787369089178,0.0999682640431609,0.5570929863535385,0.23548079974611236
7,0.3,0.35,0.1,0.01,outcome_aware,3.0222062472214644,1.0178038717867344,0.1000317359568391,0.5638844811171057,0.23509996826404317
6,0.0,0.2,0.03,0.03,outcome_aware,3.0222112656911855,1.016693113297366,0.09971437638844811,0.5579181212313551,0.2342113614725484
